Fecha,Precio de venta,Tipo de dólar
25/06/2012 12:00:00 a.m.,"4,53",Oficial
25/06/2012 12:00:00 a.m.,"5,98",Informal (Blue)
26/06/2012 12:00:00 a.m.,"4,53",Oficial
26/06/2012 12:00:00 a.m.,"5,94",Informal (Blue)
27/06/2012 12:00:00 a.m.,"4,53",Oficial
27/06/2012 12:00:00 a.m.,"5,95",Informal (Blue)
28/06/2012 12:00:00 a.m.,"4,54",Oficial
28/06/2012 12:00:00 a.m.,"5,98",Informal (Blue)
29/06/2012 12:00:00 a.m.,"4,545",Oficial
02/07/2012 12:00:00 a.m.,"4,55",Oficial
02/07/2012 12:00:00 a.m.,"5,96",Informal (Blue)
03/07/2012 12:00:00 a.m.,"4,55",Oficial
03/07/2012 12:00:00 a.m.,"5,96",Informal (Blue)
04/07/2012 12:00:00 a.m.,"4,56",Oficial
04/07/2012 12:00:00 a.m.,"5,96",Informal (Blue)
05/07/2012 12:00:00 a.m.,"4,57",Oficial
05/07/2012 12:00:00 a.m.,"5,97",Informal (Blue)
11/07/2012 12:00:00 a.m.,"4,575",Oficial
11/07/2012 12:00:00 a.m.,6,Informal (Blue)
12/07/2012 12:00:00 a.m.,"4,58",Oficial
12/07/2012 12:00:00 a.m.,"6,1",Informal (Blue)
13/07/2012 12:00:00 a.m.,"4,58",Oficial
13/07/2012 12:00:00 a.m.,"6,17",Informal (Blue)
16/07/2012 12:00:00 a.m.,"4,585",Oficial
16/07/2012 12:00:00 a.m.,"6,31",Informal (Blue)
17/07/2012 12:00:00 a.m.,"4,585",Oficial
17/07/2012 12:00:00 a.m.,"6,55",Informal (Blue)
18/07/2012 12:00:00 a.m.,"4,59",Oficial
18/07/2012 12:00:00 a.m.,"6,8",Informal (Blue)
19/07/2012 12:00:00 a.m.,"4,58",Oficial
19/07/2012 12:00:00 a.m.,"6,8",Informal (Blue)
20/07/2012 12:00:00 a.m.,"4,585",Oficial
20/07/2012 12:00:00 a.m.,"6,45",Informal (Blue)
23/07/2012 12:00:00 a.m.,"4,585",Oficial
23/07/2012 12:00:00 a.m.,"6,42",Informal (Blue)
24/07/2012 12:00:00 a.m.,"4,59",Oficial
24/07/2012 12:00:00 a.m.,"6,43",Informal (Blue)
25/07/2012 12:00:00 a.m.,"4,595",Oficial
25/07/2012 12:00:00 a.m.,"6,45",Informal (Blue)
26/07/2012 12:00:00 a.m.,"4,595",Oficial
26/07/2012 12:00:00 a.m.,"6,42",Informal (Blue)
27/07/2012 12:00:00 a.m.,"4,595",Oficial
27/07/2012 12:00:00 a.m.,"6,45",Informal (Blue)
30/07/2012 12:00:00 a.m.,"4,6",Oficial
30/07/2012 12:00:00 a.m.,"6,37",Informal (Blue)
31/07/2012 12:00:00 a.m.,"4,6",Oficial
31/07/2012 12:00:00 a.m.,"6,32",Informal (Blue)
01/08/2012 12:00:00 a.m.,"4,6",Oficial
01/08/2012 12:00:00 a.m.,"6,27",Informal (Blue)
02/08/2012 12:00:00 a.m.,"4,605",Oficial
02/08/2012 12:00:00 a.m.,"6,21",Informal (Blue)
03/08/2012 12:00:00 a.m.,"4,605",Oficial
03/08/2012 12:00:00 a.m.,"6,2",Informal (Blue)
06/08/2012 12:00:00 a.m.,"4,61",Oficial
06/08/2012 12:00:00 a.m.,"6,21",Informal (Blue)
07/08/2012 12:00:00 a.m.,"4,615",Oficial
07/08/2012 12:00:00 a.m.,"6,26",Informal (Blue)
08/08/2012 12:00:00 a.m.,"4,615",Oficial
08/08/2012 12:00:00 a.m.,"6,26",Informal (Blue)
09/08/2012 12:00:00 a.m.,"4,615",Oficial
09/08/2012 12:00:00 a.m.,"6,26",Informal (Blue)
10/08/2012 12:00:00 a.m.,"4,62",Oficial
10/08/2012 12:00:00 a.m.,"6,27",Informal (Blue)
13/08/2012 12:00:00 a.m.,"4,625",Oficial
13/08/2012 12:00:00 a.m.,"6,28",Informal (Blue)
14/08/2012 12:00:00 a.m.,"4,63",Oficial
14/08/2012 12:00:00 a.m.,"6,3",Informal (Blue)
15/08/2012 12:00:00 a.m.,"4,63",Oficial
15/08/2012 12:00:00 a.m.,"6,32",Informal (Blue)
